City,ft,bt,Transmission,No_of_Owners,Car_Model,Model_Year,Car_Price,Insurance Validity,Mileage(kmpl)
Bangalore,Petrol,Sedan,Manual,1,Maruti Ciaz,2020,941000.0,Zero Dep,20.65
Bangalore,Petrol,Sedan,Automatic,2,Hyundai Elantra,2015,630000.0,Zero Dep,14.5
Bangalore,Diesel,MUV,Manual,2,Toyota Innova,2013,1275000.0,Third Party insurance,12.99
Bangalore,Petrol,Hatchback,Automatic,2,Hyundai Grand i10,2015,525000.0,Comprehensive,18.9
Bangalore,Diesel,SUV,Manual,1,Maruti SX4 S Cross,2016,750000.0,Comprehensive,23.65
Bangalore,Petrol,Sedan,Automatic,2,Maruti Ciaz,2016,632000.0,Comprehensive,19.12
Bangalore,Petrol,Sedan,Manual,1,Maruti Swift Dzire,2015,645000.0,Zero Dep,22.41
Bangalore,Petrol,Sedan,Manual,4,Ford Ikon,2005,500000.0,Third Party insurance,13.8
Bangalore,Diesel,SUV,Automatic,2,BMW X5,2019,6795000.0,Comprehensive,13.38
Bangalore,Diesel,SUV,Manual,1,Maruti Vitara Brezza,2018,850000.0,Comprehensive,24.3
Bangalore,Petrol,Sedan,Manual,1,Mitsubishi Cedia,2008,299000.0,Third Party insurance,14.7
Bangalore,Diesel,Sedan,Automatic,1,Jaguar XF,2013,2095000.0,Comprehensive,16.36
Bangalore,Diesel,SUV,Automatic,1,Audi Q7,2013,2800000.0,Comprehensive,12.07
Bangalore,Petrol,Hatchback,Manual,2,Volkswagen Polo,2021,999000.0,Third Party,18.24
Bangalore,Petrol,Hatchback,Manual,1,Honda Jazz,2018,825000.0,Comprehensive,18.7
Bangalore,Petrol,Hatchback,Manual,3,Maruti Wagon R,2008,250000.0,Comprehensive,18.9
Bangalore,Petrol,SUV,Automatic,1,Hyundai Venue,2020,1295000.0,Comprehensive,18.15
Bangalore,Petrol,Hatchback,Manual,1,Maruti Wagon R,2012,329000.0,Comprehensive,18.9
Bangalore,Petrol,Sedan,Manual,1,Maruti Ciaz,2018,666000.0,Comprehensive,21.56
Bangalore,Diesel,Sedan,Automatic,1,Audi A3,2019,2290000.0,Third Party insurance,20.38
Bangalore,Diesel,SUV,Manual,2,Hyundai Venue,2020,1026000.0,Third Party,23.7
Bangalore,Petrol,SUV,Automatic,1,Skoda Kushaq,2022,1700000.0,Third Party insurance,17.2
Bangalore,Petrol,Hatchback,Manual,1,Maruti Baleno,2016,681000.0,Zero Dep,21.4
Bangalore,Petrol,SUV,Automatic,1,Hyundai Alcazar,2022,1689999.9999999998,Third Party insurance,14.2
Bangalore,Petrol,Hatchback,Manual,3,Maruti Alto K10,2016,318000.0,Third Party insurance,24.39
Bangalore,Petrol,Hatchback,Manual,1,Maruti Baleno,2017,688000.0,Comprehensive,21.4
Bangalore,Petrol,SUV,Manual,1,Volkswagen Taigun,2022,1300000.0,Third Party insurance,20.08
Bangalore,Petrol,Hatchback,Manual,1,Hyundai i10,2009,265000.0,Third Party insurance,20.36
Bangalore,Petrol,Sedan,Automatic,2,Maruti Swift Dzire,2018,645000.0,Third Party insurance,22
Bangalore,Petrol,SUV,Automatic,1,Hyundai Alcazar,2022,2000000.0,Third Party insurance,14.2
Bangalore,Petrol,Coupe,Automatic,3,BMW 3 Series,2007,900000.0,Third Party insurance,10.9
Bangalore,Petrol,Hatchback,Manual,1,Maruti Swift,2020,620000.0,Third Party insurance,21.21
Bangalore,Petrol,SUV,Manual,1,MG Astor,2022,1470000.0,Third Party insurance,15.43
Bangalore,Cng,Sedan,Manual,1,Hyundai Accent,2010,220000.00000000003,Third Party insurance,13.2
Bangalore,Diesel,Sedan,Automatic,1,Audi A4,2014,1475000.0,Third Party insurance,17.11
Bangalore,Petrol,Hatchback,Manual,1,Renault KWID,2020,415000.00000000006,Third Party insurance,21.74
Bangalore,Petrol,Hatchback,Manual,1,Honda Jazz,2016,610000.0,Comprehensive,18.7
Bangalore,Petrol,Hatchback,Manual,2,Hyundai Grand i10,2018,560000.0,Comprehensive,18.9
Bangalore,Petrol,Hatchback,Automatic,2,Maruti Alto K10,2015,425000.0,Third Party insurance,23.95
Bangalore,Petrol,Hatchback,Manual,1,Maruti Baleno,2016,686000.0,Comprehensive,21.4
Bangalore,Petrol,Hatchback,Manual,1,Maruti Swift,2015,517000.0,Comprehensive,22.38
Bangalore,Petrol,Hatchback,Manual,2,Maruti Wagon R,2015,385000.0,Third Party insurance,20.51
Bangalore,Petrol,Hatchback,Manual,1,Maruti Baleno,2016,675000.0,Comprehensive,21.4
Bangalore,Diesel,Sedan,Automatic,2,Mercedes-Benz C-Class,2018,3300000.0,Third Party insurance,19.27
Bangalore,Petrol,Hatchback,Manual,1,Maruti Swift,2014,499000.0,Third Party insurance,22.38
Bangalore,Petrol,Hatchback,Manual,1,Maruti Swift,2022,774000.0,Third Party,22.38
